"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:54:57 GMT 2025","3192","","Tests.NavigationTests","","Tests.NavigationTests","transitionToThirdTestPage","проверка значений направляющих кнопок и переход на третью страницу",""
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:54:57 GMT 2025","2397","","Tests.NavigationTests","","Tests.NavigationTests","transitionWithNextButtonTest","проверка перехода с помощью направляющих кнопок",""
"broken","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:55:02 GMT 2025","7841","","Tests.LoginFormTests","","Tests.LoginFormTests","signInTest","Проверка проведения авторизации",""
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:55:00 GMT 2025","5453","","Tests.NavigationTests","","Tests.NavigationTests","getSubtitleFromHeaderTest","проверка subtitle in header",""
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:55:03 GMT 2025","9209","","Tests.NavigationTests","","Tests.NavigationTests","getDevelopersPageLink","проверка developer's page link",""
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:54:59 GMT 2025","4924","","Tests.NavigationTests","","Tests.NavigationTests","logoClickTest","проверка logo click",""
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:55:01 GMT 2025","7567","","Tests.LoginFormTests","","Tests.LoginFormTests","InvalidSignInTest","Проверка провала авторизации",""
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:55:00 GMT 2025","5995","","Tests.NavigationTests","","Tests.NavigationTests","getCopyRightText","проверка Copyright",""
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:55:04 GMT 2025","9975","","Tests.NavigationTests","","Tests.NavigationTests","transitionToSecondPageTest","проверка значений направляющих кнопок и переход на вторую страницу",""
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:54:56 GMT 2025","2046","","Tests.NavigationTests","","Tests.NavigationTests","getTitleTest","проверка title",""
"passed","Mon May 12 09:54:54 GMT 2025","Mon May 12 09:55:03 GMT 2025","9826","","Tests.NavigationTests","","Tests.NavigationTests","basicStateValuesTest","проверка значений направляющих кнопок в исходном состоянии",""
