"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 10 00:12:29 GMT 2025","Sat May 10 00:12:33 GMT 2025","3320","","Tests.LoginFormTests","","Tests.LoginFormTests","InvalidSignInTest","Проверка провала авторизации",""
"passed","Sat May 10 00:12:30 GMT 2025","Sat May 10 00:12:38 GMT 2025","7740","","Tests.NavigationTests","","Tests.NavigationTests","logoClickTest","проверка logo click",""
"passed","Sat May 10 00:12:30 GMT 2025","Sat May 10 00:12:39 GMT 2025","8728","","Tests.NavigationTests","","Tests.NavigationTests","getSubtitleFromHeaderTest","проверка subtitle in header",""
"passed","Sat May 10 00:12:30 GMT 2025","Sat May 10 00:12:34 GMT 2025","3564","","Tests.NavigationTests","","Tests.NavigationTests","transitionToSecondPageTest","проверка значений направляющих кнопок и переход на вторую страницу",""
"passed","Sat May 10 00:12:29 GMT 2025","Sat May 10 00:12:35 GMT 2025","5319","","Tests.NavigationTests","","Tests.NavigationTests","getTitleTest","проверка title",""
"passed","Sat May 10 00:12:30 GMT 2025","Sat May 10 00:12:32 GMT 2025","1850","","Tests.NavigationTests","","Tests.NavigationTests","getDevelopersPageLink","проверка developer's page link",""
"passed","Sat May 10 00:12:29 GMT 2025","Sat May 10 00:12:35 GMT 2025","5891","","Tests.NavigationTests","","Tests.NavigationTests","basicStateValuesTest","проверка значений направляющих кнопок в исходном состоянии",""
"passed","Sat May 10 00:12:30 GMT 2025","Sat May 10 00:12:36 GMT 2025","6113","","Tests.NavigationTests","","Tests.NavigationTests","transitionToThirdTestPage","проверка значений направляющих кнопок и переход на третью страницу",""
"passed","Sat May 10 00:12:30 GMT 2025","Sat May 10 00:12:34 GMT 2025","4275","","Tests.NavigationTests","","Tests.NavigationTests","transitionWithNextButtonTest","проверка перехода с помощью направляющих кнопок",""
"failed","Sat May 10 00:12:29 GMT 2025","Sat May 10 00:12:39 GMT 2025","9990","","Tests.LoginFormTests","","Tests.LoginFormTests","signInTest","Проверка проведения авторизации",""
"passed","Sat May 10 00:12:30 GMT 2025","Sat May 10 00:12:38 GMT 2025","8240","","Tests.NavigationTests","","Tests.NavigationTests","getCopyRightText","проверка Copyright",""
