"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 10:57:53 GMT 2025","Mon May 12 10:58:07 GMT 2025","13531","","Tests.NavigationTests","","Tests.NavigationTests","basicStateValuesTest","проверка значений направляющих кнопок в исходном состоянии",""
"passed","Mon May 12 10:57:54 GMT 2025","Mon May 12 10:58:14 GMT 2025","20097","","Tests.NavigationTests","","Tests.NavigationTests","transitionToThirdTestPage","проверка значений направляющих кнопок и переход на третью страницу",""
"passed","Mon May 12 10:57:54 GMT 2025","Mon May 12 10:58:15 GMT 2025","20980","","Tests.LoginFormTests","","Tests.LoginFormTests","signInTest","Проверка проведения авторизации",""
"passed","Mon May 12 10:57:53 GMT 2025","Mon May 12 10:58:13 GMT 2025","19770","","Tests.NavigationTests","","Tests.NavigationTests","getDevelopersPageLink","проверка developer's page link",""
"broken","Mon May 12 10:57:53 GMT 2025","Mon May 12 10:58:06 GMT 2025","12508","","Tests.LoginFormTests","","Tests.LoginFormTests","InvalidSignInTest","Проверка провала авторизации",""
"passed","Mon May 12 10:57:54 GMT 2025","Mon May 12 10:58:08 GMT 2025","13693","","Tests.NavigationTests","","Tests.NavigationTests","getSubtitleTest","проверка developer's page link",""
"passed","Mon May 12 10:57:53 GMT 2025","Mon May 12 10:58:12 GMT 2025","18687","","Tests.NavigationTests","","Tests.NavigationTests","getTitleTest","проверка title",""
"passed","Mon May 12 10:57:54 GMT 2025","Mon May 12 10:58:08 GMT 2025","14266","","Tests.NavigationTests","","Tests.NavigationTests","getSubtitleFromHeaderTest","проверка subtitle in header",""
"passed","Mon May 12 10:57:54 GMT 2025","Mon May 12 10:58:16 GMT 2025","21731","","Tests.NavigationTests","","Tests.NavigationTests","transitionWithNextButtonTest","проверка перехода с помощью направляющих кнопок",""
"passed","Mon May 12 10:57:54 GMT 2025","Mon May 12 10:58:11 GMT 2025","17087","","Tests.NavigationTests","","Tests.NavigationTests","transitionToSecondPageTest","проверка значений направляющих кнопок и переход на вторую страницу",""
"passed","Mon May 12 10:57:54 GMT 2025","Mon May 12 10:58:12 GMT 2025","17594","","Tests.NavigationTests","","Tests.NavigationTests","getCopyRightText","проверка Copyright",""
"passed","Mon May 12 10:57:54 GMT 2025","Mon May 12 10:58:10 GMT 2025","16281","","Tests.NavigationTests","","Tests.NavigationTests","logoClickTest","проверка logo click",""
