"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 10 01:44:56 GMT 2025","Sat May 10 01:44:59 GMT 2025","3140","","Tests.NavigationTests","","Tests.NavigationTests","transitionWithNextButtonTest","проверка перехода с помощью направляющих кнопок",""
"passed","Sat May 10 01:44:56 GMT 2025","Sat May 10 01:45:03 GMT 2025","7551","","Tests.NavigationTests","","Tests.NavigationTests","transitionToSecondPageTest","проверка значений направляющих кнопок и переход на вторую страницу",""
"passed","Sat May 10 01:44:55 GMT 2025","Sat May 10 01:44:58 GMT 2025","2269","","Tests.NavigationTests","","Tests.NavigationTests","basicStateValuesTest","проверка значений направляющих кнопок в исходном состоянии",""
"passed","Sat May 10 01:44:56 GMT 2025","Sat May 10 01:45:00 GMT 2025","3670","","Tests.NavigationTests","","Tests.NavigationTests","getSubtitleFromHeaderTest","проверка subtitle in header",""
"passed","Sat May 10 01:44:56 GMT 2025","Sat May 10 01:45:01 GMT 2025","5313","","Tests.NavigationTests","","Tests.NavigationTests","logoClickTest","проверка logo click",""
"failed","Sat May 10 01:44:56 GMT 2025","Sat May 10 01:45:04 GMT 2025","8448","","Tests.LoginFormTests","","Tests.LoginFormTests","signInTest","Проверка проведения авторизации",""
"passed","Sat May 10 01:44:55 GMT 2025","Sat May 10 01:44:58 GMT 2025","2910","","Tests.NavigationTests","","Tests.NavigationTests","getTitleTest","проверка title",""
"passed","Sat May 10 01:44:56 GMT 2025","Sat May 10 01:45:05 GMT 2025","9650","","Tests.NavigationTests","","Tests.NavigationTests","getCopyRightText","проверка Copyright",""
"passed","Sat May 10 01:44:56 GMT 2025","Sat May 10 01:45:02 GMT 2025","6060","","Tests.NavigationTests","","Tests.NavigationTests","transitionToThirdTestPage","проверка значений направляющих кнопок и переход на третью страницу",""
"passed","Sat May 10 01:44:55 GMT 2025","Sat May 10 01:45:05 GMT 2025","9698","","Tests.LoginFormTests","","Tests.LoginFormTests","InvalidSignInTest","Проверка провала авторизации",""
"passed","Sat May 10 01:44:55 GMT 2025","Sat May 10 01:45:03 GMT 2025","7403","","Tests.NavigationTests","","Tests.NavigationTests","getDevelopersPageLink","проверка developer's page link",""
