"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:13 GMT 2025","8442","","Tests.NavigationTests","","Tests.NavigationTests","getDevelopersPageLink","проверка developer's page link",""
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:16 GMT 2025","11168","","Tests.NavigationTests","","Tests.NavigationTests","transitionWithNextButtonTest","проверка перехода с помощью направляющих кнопок",""
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:11 GMT 2025","6577","","Tests.NavigationTests","","Tests.NavigationTests","basicStateValuesTest","проверка значений направляющих кнопок в исходном состоянии",""
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:15 GMT 2025","9764","","Tests.NavigationTests","","Tests.NavigationTests","transitionToThirdTestPage","проверка значений направляющих кнопок и переход на третью страницу",""
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:11 GMT 2025","5969","","Tests.NavigationTests","","Tests.NavigationTests","getTitleTest","проверка title",""
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:08 GMT 2025","3059","","Tests.NavigationTests","","Tests.NavigationTests","logoClickTest","проверка logo click",""
"broken","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:14 GMT 2025","8827","","Tests.LoginFormTests","","Tests.LoginFormTests","signInTest","Проверка проведения авторизации",""
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:10 GMT 2025","4859","","Tests.LoginFormTests","","Tests.LoginFormTests","InvalidSignInTest","Проверка провала авторизации",""
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:10 GMT 2025","4814","","Tests.NavigationTests","","Tests.NavigationTests","getSubtitleFromHeaderTest","проверка subtitle in header",""
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:16 GMT 2025","10287","","Tests.NavigationTests","","Tests.NavigationTests","getCopyRightText","проверка Copyright",""
"passed","Mon May 12 10:24:05 GMT 2025","Mon May 12 10:24:12 GMT 2025","6784","","Tests.NavigationTests","","Tests.NavigationTests","transitionToSecondPageTest","проверка значений направляющих кнопок и переход на вторую страницу",""
