"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:05 GMT 2025","1523","","Tests.NavigationTests","","Tests.NavigationTests","getSubtitleFromHeaderTest","проверка subtitle in header",""
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:07 GMT 2025","3290","","Tests.NavigationTests","","Tests.NavigationTests","transitionToThirdTestPage","проверка значений направляющих кнопок и переход на третью страницу",""
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:10 GMT 2025","6379","","Tests.NavigationTests","","Tests.NavigationTests","transitionToSecondPageTest","проверка значений направляющих кнопок и переход на вторую страницу",""
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:09 GMT 2025","5671","","Tests.NavigationTests","","Tests.NavigationTests","logoClickTest","проверка logo click",""
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:10 GMT 2025","7612","","Tests.NavigationTests","","Tests.NavigationTests","getTitleTest","проверка title",""
"failed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:12 GMT 2025","9100","","Tests.LoginFormTests","","Tests.LoginFormTests","signInTest","Проверка проведения авторизации",""
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:06 GMT 2025","2503","","Tests.NavigationTests","","Tests.NavigationTests","transitionWithNextButtonTest","проверка перехода с помощью направляющих кнопок",""
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:12 GMT 2025","8121","","Tests.NavigationTests","","Tests.NavigationTests","getCopyRightText","проверка Copyright",""
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:07 GMT 2025","4068","","Tests.NavigationTests","","Tests.NavigationTests","getDevelopersPageLink","проверка developer's page link",""
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:11 GMT 2025","8265","","Tests.NavigationTests","","Tests.NavigationTests","basicStateValuesTest","проверка значений направляющих кнопок в исходном состоянии",""
"passed","Sat May 10 00:48:03 GMT 2025","Sat May 10 00:48:13 GMT 2025","10517","","Tests.LoginFormTests","","Tests.LoginFormTests","InvalidSignInTest","Проверка провала авторизации",""
