"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 10 01:59:01 GMT 2025","Sat May 10 01:59:10 GMT 2025","9275","","Tests.NavigationTests","","Tests.NavigationTests","logoClickTest","проверка logo click",""
"passed","Sat May 10 01:59:00 GMT 2025","Sat May 10 01:59:05 GMT 2025","5523","","Tests.NavigationTests","","Tests.NavigationTests","basicStateValuesTest","проверка значений направляющих кнопок в исходном состоянии",""
"passed","Sat May 10 01:59:01 GMT 2025","Sat May 10 01:59:11 GMT 2025","10058","","Tests.NavigationTests","","Tests.NavigationTests","transitionWithNextButtonTest","проверка перехода с помощью направляющих кнопок",""
"passed","Sat May 10 01:59:01 GMT 2025","Sat May 10 01:59:08 GMT 2025","7598","","Tests.NavigationTests","","Tests.NavigationTests","getCopyRightText","проверка Copyright",""
"passed","Sat May 10 01:59:01 GMT 2025","Sat May 10 01:59:02 GMT 2025","1926","","Tests.LoginFormTests","","Tests.LoginFormTests","signInTest","Проверка проведения авторизации",""
"passed","Sat May 10 01:59:01 GMT 2025","Sat May 10 01:59:08 GMT 2025","7058","","Tests.NavigationTests","","Tests.NavigationTests","transitionToSecondPageTest","проверка значений направляющих кнопок и переход на вторую страницу",""
"passed","Sat May 10 01:59:01 GMT 2025","Sat May 10 01:59:03 GMT 2025","2703","","Tests.NavigationTests","","Tests.NavigationTests","getSubtitleFromHeaderTest","проверка subtitle in header",""
"passed","Sat May 10 01:59:00 GMT 2025","Sat May 10 01:59:05 GMT 2025","4891","","Tests.NavigationTests","","Tests.NavigationTests","getDevelopersPageLink","проверка developer's page link",""
"passed","Sat May 10 01:59:01 GMT 2025","Sat May 10 01:59:04 GMT 2025","3481","","Tests.NavigationTests","","Tests.NavigationTests","transitionToThirdTestPage","проверка значений направляющих кнопок и переход на третью страницу",""
"passed","Sat May 10 01:59:00 GMT 2025","Sat May 10 01:59:06 GMT 2025","6098","","Tests.NavigationTests","","Tests.NavigationTests","getTitleTest","проверка title",""
"passed","Sat May 10 01:59:00 GMT 2025","Sat May 10 01:59:07 GMT 2025","6856","","Tests.LoginFormTests","","Tests.LoginFormTests","InvalidSignInTest","Проверка провала авторизации",""
